@relation 'feature_compiled_all-weka.filters.unsupervised.attribute.Remove-R46-50,53,56-60-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R2-3,6-13,15-20,23,25,28,30-32,35-45'

@attribute NumDots numeric
@attribute UrlLength numeric
@attribute NumDash numeric
@attribute NumNumericChars numeric
@attribute PathLength numeric
@attribute QueryLength numeric
@attribute NumSensitiveWords numeric
@attribute PctExtHyperlinks numeric
@attribute PctExtResourceUrls numeric
@attribute InsecureForms numeric
@attribute PctNullSelfRedirectHyperlinks numeric
@attribute FrequentDomainNameMismatch numeric
@attribute ExtMetaScriptLinkRT numeric
@attribute PctExtNullSelfRedirectHyperlinksRT numeric
@attribute CLASS_LABEL {0,1}

@data
1,38,2,0,14,0,0,0.007299,0.325,1,0.934307,0,0,-1,1
4,89,2,21,34,34,2,0,0.035714,1,0,1,1,1,1
2,79,0,20,53,0,0,0,0.777778,1,0.785714,0,0,-1,1
4,90,2,22,34,35,2,0,0.035714,1,0,1,1,1,1
4,89,2,21,34,34,2,0,0.035714,1,0,1,1,1,1
2,50,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,0,25,0,0,1,1,1,0,1,-1,-1,1
6,149,3,1,56,71,1,0,0,1,0,0,1,1,1
2,50,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
2,50,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
2,37,0,1,15,0,0,0,0,1,0,0,1,1,1
4,62,1,0,39,0,0,0,0.642857,1,1,0,0,-1,1
1,29,0,0,5,0,0,1,1,1,0,1,-1,-1,1
2,172,1,25,52,95,0,0,0.2,1,0,0,0,1,1
2,164,1,25,52,87,0,0,0.2,1,0,0,0,1,1
2,44,0,0,18,0,0,0,0.785714,1,1,1,1,-1,1
6,142,3,24,120,0,0,0.002793,0.038462,1,0.952514,0,1,-1,1
4,191,2,22,69,96,0,0,0.2,1,0,0,0,1,1
4,191,2,26,69,96,0,0,0.2,1,0,0,0,1,1
4,191,2,21,69,96,0,0,0.2,1,0,0,0,1,1
1,59,0,22,40,0,0,0,0.125,1,0.923077,0,1,-1,1
3,56,0,0,28,0,0,0,0.785714,1,1,1,1,-1,1
2,58,0,0,31,0,0,1,0.142857,1,0,0,0,-1,1
4,53,0,0,24,0,0,0.5,1,1,0.5,1,-1,-1,1
2,33,0,0,14,0,0,0,0.785714,1,1,1,1,-1,1
2,33,0,0,17,0,0,0,0,1,0,0,1,1,1
2,55,1,0,11,0,0,0,0,1,1,0,1,-1,1
3,51,1,0,21,0,0,1,1,1,0,1,-1,-1,1
1,41,0,0,19,0,0,1,1,1,0,1,-1,-1,1
1,35,0,0,11,0,0,0,0,1,0,0,1,1,1
2,36,0,0,19,0,0,0.666667,1,1,0.333333,1,-1,-1,1
3,65,0,0,38,0,0,0,1,1,1,1,-1,-1,1
3,187,2,23,69,96,0,0,0.2,1,0,0,0,1,1
3,69,0,0,36,0,0,0,0.166667,1,0,0,0,1,1
5,83,0,12,27,36,0,0,0.642857,0,0,0,0,1,1
3,49,0,0,33,0,0,0.223684,0.882353,1,0,0,-1,1,1
2,48,0,0,26,0,0,0,0.071429,1,1,0,1,-1,1
2,56,1,0,11,0,0,0,0,0,1,0,1,-1,1
2,42,0,0,22,0,0,0,0,1,0,0,1,1,1
5,74,1,7,4,0,0,0,0,1,0.975,0,1,-1,1
5,86,1,4,4,25,0,0,0,1,0,0,1,1,1
8,111,2,10,4,37,0,0,0,1,0,0,1,1,1
8,123,1,13,4,46,0,0,0,1,0,0,1,1,1
5,95,1,8,4,30,0,0,0,1,0,0,1,1,1
4,55,0,0,17,0,0,0,0,1,0,0,1,1,1
2,52,0,1,12,0,0,0,0,1,0,0,1,1,1
2,37,0,0,16,0,0,0.923077,1,1,0,1,-1,-1,1
3,84,1,1,52,0,0,0,0,1,0,0,1,1,1
3,53,0,0,28,0,0,0,0,1,0,0,1,1,1
2,92,1,5,19,51,0,0,0.333333,1,0,0,-1,1,1
2,28,0,0,3,0,0,0,0.176471,1,1,0,1,-1,1
2,39,0,0,23,0,0,0,0.333333,0,0,0,0,1,1
2,48,1,0,31,0,0,0.923077,1,1,0,1,-1,-1,1
2,37,0,0,9,0,0,0.857143,1,1,0.142857,1,-1,-1,1
2,39,0,0,14,0,0,0,0,1,0,0,1,1,1
3,35,0,2,13,0,0,0.888889,0.933333,1,0,1,-1,-1,1
1,37,0,0,14,0,0,0,0,1,0,0,1,1,1
2,45,0,0,23,0,0,0,0.071429,1,1,0,1,-1,1
3,47,0,0,23,0,0,1,0.714286,1,0,1,0,-1,1
3,60,2,0,32,0,0,0,0.285714,1,0,0,-1,1,1
2,35,0,0,13,0,0,0,0,1,0,0,1,1,1
4,97,2,18,45,31,2,0,0.035714,1,0,1,1,1,1
4,98,2,19,45,32,2,0,0.035714,1,0,1,1,1,1
3,44,1,0,20,0,0,0,0.2,1,0.058824,0,0,1,1
3,61,0,2,30,0,0,0,0,0,0,1,1,1,1
1,52,0,0,21,0,0,0,0.785714,1,1,1,1,-1,1
4,50,0,0,15,0,0,1,1,1,0,1,1,-1,1
4,100,2,21,45,34,2,0,0.035714,1,0,1,1,1,1
4,99,2,20,45,33,2,0,0.035714,1,0,1,1,1,1
1,36,0,0,11,0,0,0.913043,1,1,0.065217,1,-1,-1,1
3,60,1,0,39,0,0,1,0.095238,1,0,1,1,-1,1
4,73,1,3,43,0,0,0.857143,1,1,0.142857,1,-1,-1,1
1,64,1,0,36,0,0,0,0,1,0,0,1,1,1
1,38,1,0,21,0,0,0.923077,1,1,0,1,-1,-1,1
1,72,0,21,39,0,0,0,0.785714,1,1,1,1,-1,1
4,104,11,14,78,0,0,0.926829,1,1,0.02439,1,-1,-1,1
3,60,1,0,29,0,0,0,0,1,0,0,1,1,1
4,83,0,10,58,0,0,0,0,1,1,0,1,-1,1
1,42,0,0,15,0,0,0,0,1,0,0,1,1,1
3,50,0,0,22,0,0,0,0,1,0,0,1,1,1
4,59,0,2,19,0,0,1,0.636364,1,0,1,0,-1,1
1,35,0,0,12,0,0,0,0,1,0,0,1,1,1
2,45,0,0,18,0,0,0,0,1,0,0,1,1,1
2,38,0,0,15,0,0,0,0,1,0,0,1,1,1
2,54,1,0,20,0,0,0,0,1,0,0,1,1,1
1,47,2,0,20,0,0,0,0.0625,1,0,0,-1,1,1
1,38,0,0,10,0,0,1,0.105263,1,0,0,1,-1,1
4,71,1,1,34,0,0,1,1,1,0,1,-1,-1,1
1,38,0,0,16,0,0,0,0.071429,1,1,0,1,-1,1
3,61,0,1,21,0,0,0,0,1,0,0,1,1,1
1,33,0,0,11,0,0,0,0.071429,1,1,0,1,-1,1
1,36,0,0,14,0,0,0,0.071429,1,1,0,1,-1,1
3,62,0,0,38,0,0,0,0,1,0,0,1,1,1
1,33,1,1,4,0,0,1,0.285714,1,0,1,0,-1,1
2,69,1,6,52,0,0,0,0,0,0,1,1,1,1
2,50,0,0,20,0,0,0,0,1,0,0,1,1,1
3,126,0,41,35,68,1,0,0,1,0,0,1,1,1
3,63,1,0,29,0,0,0,0,1,0,0,1,1,1
3,68,1,0,44,0,0,0,0,1,0,0,1,1,1
1,34,0,1,10,0,0,0,0,1,0,0,1,1,1
3,30,0,0,10,0,0,0.923077,1,1,0,1,-1,-1,1
1,53,0,2,39,0,0,0.942857,0.933333,1,0.057143,1,-1,-1,1
5,72,4,13,18,9,1,0,0.058824,1,0,0,1,1,1
2,57,1,4,34,0,0,0,0,1,0,0,1,1,1
2,97,1,2,19,51,0,0,0.333333,1,0,0,-1,1,1
2,45,0,0,19,0,0,0,0.333333,1,0,0,-1,1,1
2,57,1,0,25,0,0,0,0.066667,1,1,0,1,-1,1
3,61,0,0,34,0,1,1,0.076923,1,0,0,0,-1,1
2,54,0,4,30,0,0,0.923077,1,1,0,1,-1,-1,1
2,40,0,0,5,0,0,0.933333,1,1,0,1,-1,-1,1
2,127,1,7,19,86,0,0,0.333333,1,0,0,-1,1,1
2,132,1,4,19,86,0,0,0.333333,1,0,0,-1,1,1
3,66,1,0,43,0,0,1,0.9375,1,0,1,-1,-1,1
2,40,0,3,19,0,0,0,0.333333,1,0,0,-1,1,1
4,53,0,0,14,0,0,0.923077,1,1,0,1,-1,-1,1
2,41,0,0,21,0,0,0.923077,1,1,0,1,-1,-1,1
2,144,1,4,22,95,0,0,0.333333,1,0,0,-1,1,1
2,100,1,2,22,51,0,0,0.333333,1,0,0,-1,1,1
2,136,1,4,22,87,0,0,0.333333,1,0,0,-1,1,1
5,53,1,0,28,0,1,0.471698,0.976744,1,0.037736,1,-1,0,1
4,57,1,1,17,0,0,0.972222,0.035294,1,0.027778,0,1,-1,1
4,46,1,0,30,0,1,0.471698,0.976744,1,0.037736,1,-1,0,1
2,133,1,4,19,87,0,0,0.333333,1,0,0,-1,1,1
2,73,1,19,53,0,0,1,1,1,0,1,-1,-1,1
1,29,0,0,5,0,0,1,1,1,0,1,-1,-1,1
1,28,0,0,4,0,0,1,1,1,0,1,-1,-1,1
2,62,1,0,36,0,0,0.933333,1,1,0,1,-1,-1,1
2,128,1,7,19,87,0,0,0.333333,1,0,0,-1,1,1
2,51,0,8,29,0,0,0,0,1,1,0,1,-1,1
2,146,1,25,54,64,0,0.024752,0.026667,1,0,0,1,1,1
4,80,0,0,40,0,1,1,0,1,0,0,1,-1,1
2,29,0,0,6,0,0,0,0,1,1,0,1,-1,1
2,62,1,0,33,0,0,0,0.222222,1,0,0,1,1,1
2,49,0,0,29,0,1,1,1,1,0,1,-1,-1,1
5,60,1,0,28,0,1,0.471698,0.976744,1,0.037736,1,-1,0,1
2,58,1,6,38,0,0,1,1,1,0,1,-1,-1,1
2,30,0,3,1,0,0,0,0.090909,1,1,0,1,-1,1
2,60,0,0,37,0,0,0.785714,0.090909,1,0.214286,0,0,-1,1
2,39,0,0,15,0,0,1,1,1,0,1,-1,-1,1
2,57,0,0,34,0,0,0,0,1,0,0,1,1,1
2,39,0,0,15,0,0,1,1,1,0,1,-1,-1,1
2,38,0,0,14,0,0,1,1,1,0,1,-1,-1,1
2,54,1,0,31,0,0,0,0,1,0,0,1,1,1
2,48,1,0,22,0,0,0,0,1,0,0,1,1,1
3,72,1,0,46,0,0,0.933333,1,1,0,1,-1,-1,1
3,76,2,1,52,0,0,0,0,1,0,0,1,1,1
4,71,5,9,29,0,1,0,0.642857,1,1,0,0,-1,1
2,34,0,0,16,0,0,1,1,1,0,1,-1,-1,1
4,76,0,0,44,0,0,0,0,1,0,0,1,1,1
3,211,0,48,33,155,0,0.090909,0.73913,1,0,1,0,1,1
1,26,0,0,7,0,0,0,0.125,1,0.923077,0,1,-1,1
3,63,1,0,25,0,0,0,0,1,0,0,1,1,1
3,76,1,0,27,0,0,0,0,0,0,0,1,1,1
3,60,1,0,33,0,1,0.974359,0,1,0,0,1,-1,1
1,32,0,0,4,0,0,0,0.785714,1,1,1,1,-1,1
4,101,2,20,47,33,2,0,0.035714,1,0,1,1,1,1
2,39,0,0,11,0,0,0,0.074074,1,0,0,1,1,1
1,62,1,0,37,0,0,0.923077,1,1,0,1,-1,-1,1
3,58,1,0,31,0,0,0,0,1,0,0,1,1,1
3,64,3,0,44,0,0,0.5,1,1,0,1,-1,0,1
2,51,0,1,32,0,0,0,1,1,1,1,-1,-1,1
2,37,0,4,16,0,0,0,0,1,0,0,1,1,1
3,73,1,0,49,0,0,0,0.083333,1,0,0,1,1,1
4,64,4,0,24,0,1,1,0.5,1,0,1,0,-1,1
4,69,2,0,41,0,0,0,0.285714,1,0,0,-1,1,1
2,46,0,0,16,0,1,0,0,1,0,0,1,1,1
3,91,0,22,25,35,0,0,0,1,0,0,1,1,1
5,61,0,0,38,4,1,0.923077,1,1,0,1,-1,-1,1
1,60,0,23,46,0,0,0,0,1,1,0,1,-1,1
1,60,0,16,46,0,0,0,0,1,1,0,1,-1,1
1,59,0,17,40,0,0,0,0.125,1,0.923077,0,1,-1,1
4,86,2,1,62,0,0,0,0,1,0,0,1,1,1
4,78,0,0,49,0,0,0.259259,0.166667,1,0.740741,0,0,-1,1
2,68,1,0,37,0,0,0.666667,1,1,0.333333,1,-1,-1,1
2,58,0,1,41,0,0,0,0.953488,1,0,1,0,1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
3,54,1,2,31,0,0,1,0.142857,1,0,0,0,-1,1
1,44,1,0,14,0,0,0,0.153846,1,0,0,1,1,1
2,58,0,23,34,0,0,0.6,1,1,0.4,1,-1,-1,1
2,58,0,22,34,0,0,0.6,1,1,0.4,1,-1,-1,1
3,44,0,0,10,0,0,0,0.785714,1,1,1,1,-1,1
2,52,0,0,28,0,0,0,0,1,0,0,1,1,1
3,52,0,0,28,0,0,0,0,1,0,0,1,1,1
1,111,1,20,78,0,0,0,0.666667,1,0,0,0,1,1
1,29,0,2,15,0,1,0.923077,1,1,0,1,-1,-1,1
4,88,2,20,34,33,2,0,0.035714,1,0,1,1,1,1
1,33,0,0,8,0,0,1,0.142857,1,0,0,0,-1,1
4,182,2,26,69,87,0,0,0.2,1,0,0,0,1,1
4,94,1,17,69,0,0,0,0.2,1,0,0,0,1,1
3,90,1,22,69,0,0,0,0.2,1,0,0,0,1,1
4,182,2,28,69,87,0,0,0.2,1,0,0,0,1,1
3,45,0,0,17,0,0,0,0,1,0,0,1,1,1
2,53,0,4,24,0,0,1,0.142857,1,0,0,0,-1,1
3,57,1,0,29,0,0,0,0,1,0,0,1,1,1
3,44,0,0,27,0,0,0,0,1,0,0,1,1,1
3,57,2,0,37,0,0,1,1,1,0,1,-1,-1,1
2,30,0,0,13,0,0,1,1,1,0,1,-1,-1,1
3,82,0,4,47,7,0,0,1,1,0,1,-1,1,1
4,59,0,10,39,0,0,0,0,1,0,1,1,1,1
3,65,0,0,39,0,0,0,0,1,0,0,1,1,1
3,70,1,0,39,0,0,0,0,1,0,0,1,1,1
4,38,0,9,19,0,0,0,0,1,0,1,1,1,1
3,216,0,31,46,134,0,0,0,1,0,0,1,1,1
2,36,0,1,16,0,0,1,1,1,0,1,-1,-1,1
2,54,1,0,24,0,0,0,0.153846,1,0,0,1,1,1
3,46,0,1,24,0,0,0,0,1,0,0,1,1,1
3,57,0,0,39,0,0,0,0,1,0,0,1,1,1
4,45,0,0,16,0,0,1,1,1,0,1,-1,-1,1
4,94,1,5,65,0,1,1,0,1,0,0,1,-1,1
3,67,1,0,35,0,0,0,0.066667,1,1,0,1,-1,1
3,51,1,1,24,0,0,0,0.5,1,0,0,-1,1,1
3,41,0,0,17,0,0,0.666667,0,1,0.333333,0,1,-1,1
1,38,0,0,8,0,0,0,0.153846,1,0,0,1,1,1
2,39,0,2,25,0,1,0.923077,1,1,0,1,-1,-1,1
2,34,0,0,20,0,0,0.132075,0.32,1,0.867925,0,0,-1,1
1,37,0,0,13,0,0,1,0.142857,1,0,0,0,-1,1
2,40,0,2,1,10,0,0.444444,0.954545,1,0,1,-1,0,1
1,39,0,4,10,0,0,1,0.142857,1,0,0,0,-1,1
2,32,0,2,1,0,0,0.444444,0.954545,1,0,1,-1,0,1
2,34,0,0,17,0,0,1,1,1,0,1,-1,-1,1
3,102,0,4,66,0,0,0.923077,1,1,0,1,-1,-1,1
3,44,0,0,22,0,0,1,1,1,0,1,-1,-1,1
3,30,0,0,5,0,0,0,0.074074,1,0,0,1,1,1
2,32,0,0,17,0,0,0,0,1,0,0,1,1,1
1,32,0,2,10,0,0,0,0,1,1,0,1,-1,1
2,32,0,0,11,0,0,0.933333,1,1,0,1,-1,-1,1
2,41,0,0,18,0,0,0,0,1,0,0,1,1,1
3,48,1,0,21,0,0,0.8,1,1,0.12,1,-1,-1,1
1,40,0,1,8,0,0,0.777778,0.181818,1,0.222222,0,0,-1,1
3,46,0,0,17,0,0,1,1,1,0,1,-1,-1,1
4,40,0,0,15,0,0,0,0.074074,1,0,0,1,1,1
2,40,0,0,11,0,0,1,0.142857,1,0,0,0,-1,1
1,170,1,39,137,0,2,0.647059,0.903226,1,0.352941,1,-1,-1,1
3,47,0,0,27,0,0,0,1,1,1,0,-1,-1,1
2,55,1,0,24,0,0,1,1,1,0,1,1,-1,1
3,58,1,0,31,0,0,0,0,1,1,0,1,-1,1
3,69,0,0,23,0,0,0,0,1,0,0,1,1,1
3,51,0,0,18,0,0,0,0,1,0,0,1,1,1
5,60,0,0,38,3,1,0.923077,1,1,0,1,-1,-1,1
2,37,1,0,13,0,0,0.923077,1,1,0,1,-1,-1,1
5,72,0,0,41,0,0,0,0,1,1,0,1,-1,1
1,60,0,23,46,0,0,0,0,1,1,0,1,-1,1
3,65,1,0,39,0,0,1,1,1,0,1,-1,-1,1
5,88,0,0,38,31,1,0.923077,1,1,0,1,-1,-1,1
5,56,0,0,38,0,1,0.923077,1,1,0,1,-1,-1,1
1,47,0,0,24,0,1,0,0,1,0,0,1,1,1
2,57,0,12,35,0,0,0,0,1,1,0,1,-1,1
4,67,2,0,39,0,0,0,0.285714,1,0,0,-1,1,1
2,38,0,0,18,0,0,0,0,1,0,0,1,1,1
7,91,0,0,65,0,0,0.833333,0.235294,1,0,0,0,-1,1
14,242,0,74,20,174,0,0,0.642857,1,0,0,0,1,1
2,39,0,0,17,0,1,0.75,0.222222,1,0.125,0,0,-1,1
1,42,0,0,19,0,0,0,0,1,0,0,1,1,1
1,39,0,0,5,0,0,1,0,1,0,1,1,-1,1
1,40,0,0,6,0,0,1,0,1,0,1,1,-1,1
2,62,2,0,40,0,0,0,0,1,0,0,1,1,1
2,44,0,4,27,0,0,0,0,1,0,0,1,1,1
4,68,2,0,40,0,0,0,0.285714,1,0,0,-1,1,1
2,51,0,0,20,0,0,0,0.428571,1,1,0,0,-1,1
2,47,1,0,25,0,0,1,1,1,0,1,-1,-1,1
3,46,0,0,24,0,0,0.6,1,1,0.4,1,-1,-1,1
2,72,2,0,45,0,0,1,1,1,0,1,1,-1,1
